CDTB_DOC	Sentence_ID	Directionality	Causal_Type	Exp/Imp	Arg1_Tense	Arg2_Tense
644.xml	3	Effect-Reason	Background	Implicit	Present	Present
646.xml	1	Reason-Effect	Background	Implicit	Past	Present
648.xml	1	Reason-Effect	Background	Implicit	Present	Present
067.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Future
067.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Present
082.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Future
105.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Present
111.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
111.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Present
112.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
122.xml	3	Reason-Effect	Hypothetical	Explicit	Future	Future
125.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Present
139.xml	10	Reason-Effect	Hypothetical	Explicit	Present	Present
142.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Present
143.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
143.xml	7	Reason-Effect	Hypothetical	Explicit	Present	Present
144.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Future
154.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Future
193.xml	2	Reason-Effect	Hypothetical	Explicit	Past	Present
196.xml	8	Reason-Effect	Hypothetical	Explicit	Present	Future
207.xml	8	Reason-Effect	Hypothetical	Explicit	Past	Past
214.xml	8	Reason-Effect	Hypothetical	Explicit	Present	Future
227.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
240.xml	6	Reason-Effect	Hypothetical	Explicit	Present	Present
240.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Present
240.xml	8	Reason-Effect	Hypothetical	Explicit	Past	Present
249.xml	6	Reason-Effect	Hypothetical	Explicit	Present	Future
259.xml	5	Reason-Effect	Hypothetical	Explicit	Present	Future
267.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Future
301.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Future
301.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Future
322.xml	2	Reason-Effect	Hypothetical	Explicit	Past	Present
325.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
423.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Future
518.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Present
539.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Present
542.xml	1	Reason-Effect	Hypothetical	Explicit	Past	Present
542.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Present
543.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
543.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Present
544.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
544.xml	1	Reason-Effect	Hypothetical	Explicit	Past	Present
544.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Present
545.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Present
552.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Present
590.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
590.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Present
590.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
590.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Present
590.xml	4	Reason-Effect	Hypothetical	Explicit	Present	Present
593.xml	11	Reason-Effect	Hypothetical	Explicit	Present	Present
594.xml	5	Reason-Effect	Hypothetical	Explicit	Present	Present
595.xml	3	Reason-Effect	Hypothetical	Explicit	Present	Present
595.xml	6	Reason-Effect	Hypothetical	Explicit	Present	Present
596.xml	2	Reason-Effect	Hypothetical	Explicit	Present	Present
637.xml	7	Reason-Effect	Hypothetical	Explicit	Present	Present
653.xml	1	Reason-Effect	Hypothetical	Explicit	Present	Future
653.xml	2	Reason-Effect	Hypothetical	Explicit	Past	Present
001.xml	26	Reason-Effect	Hypothetical	Implicit	Present	Present
052.xml	4	Reason-Effect	Hypothetical	Implicit	Present	Present
261.xml	3	Reason-Effect	Hypothetical	Implicit	Past	Present
527.xml	1	Reason-Effect	Hypothetical	Implicit	Present	Present
551.xml	3	Reason-Effect	Hypothetical	Implicit	Present	Present
593.xml	5	Reason-Effect	Hypothetical	Implicit	Present	Present
594.xml	5	Reason-Effect	Hypothetical	Implicit	Present	Present
594.xml	6	Reason-Effect	Hypothetical	Implicit	Present	Present
596.xml	3	Reason-Effect	Hypothetical	Implicit	Present	Present
596.xml	2	Reason-Effect	Hypothetical	Implicit	Present	Present
596.xml	6	Reason-Effect	Hypothetical	Implicit	Present	Present
627.xml	9	Reason-Effect	Hypothetical	Implicit	Present	Present
637.xml	2	Reason-Effect	Hypothetical	Implicit	Past	Present
653.xml	6	Reason-Effect	Hypothetical	Implicit	Past	Present
267.xml	6	Reason-Effect	Inference	Explicit	Present	Present
324.xml	4	Reason-Effect	Inference	Explicit	Past	Present
415.xml	3	Reason-Effect	Inference	Explicit	Past	Present
007.xml	7	Reason-Effect	Inference	Implicit	Present	Future
014.xml	2	Reason-Effect	Inference	Implicit	Present	Future
014.xml	5	Reason-Effect	Inference	Implicit	Past	Present
016.xml	6	Reason-Effect	Inference	Implicit	Present	Future
016.xml	11	Reason-Effect	Inference	Implicit	Present	Future
042.xml	5	Reason-Effect	Inference	Implicit	Past	Present
052.xml	5	Reason-Effect	Inference	Implicit	Past	Present
105.xml	1	Reason-Effect	Inference	Implicit	Present	Present
112.xml	1	Reason-Effect	Inference	Implicit	Present	Future
113.xml	1	Reason-Effect	Inference	Implicit	Present	Future
139.xml	5	Reason-Effect	Inference	Implicit	Past	Present
182.xml	6	Reason-Effect	Inference	Implicit	Present	Future
251.xml	4	Reason-Effect	Inference	Implicit	Present	Present
251.xml	3	Reason-Effect	Inference	Implicit	Past	Present
259.xml	3	Reason-Effect	Inference	Implicit	Past	Present
309.xml	1	Reason-Effect	Inference	Implicit	Present	Future
309.xml	1	Reason-Effect	Inference	Implicit	Present	Future
325.xml	1	Reason-Effect	Inference	Implicit	Past	Present
402.xml	1	Reason-Effect	Inference	Implicit	Past	Present
405.xml	1	Reason-Effect	Inference	Implicit	Present	Future
415.xml	1	Reason-Effect	Inference	Implicit	Present	Future
428.xml	3	Reason-Effect	Inference	Implicit	Past	Present
432.xml	6	Reason-Effect	Inference	Implicit	Past	Present
438.xml	1	Reason-Effect	Inference	Implicit	Present	Present
438.xml	2	Reason-Effect	Inference	Implicit	Present	Present
441.xml	1	Reason-Effect	Inference	Implicit	Past	Present
441.xml	3	Reason-Effect	Inference	Implicit	Present	Present
501.xml	1	Reason-Effect	Inference	Implicit	Present	Present
544.xml	1	Reason-Effect	Inference	Implicit	Present	Present
593.xml	2	Reason-Effect	Inference	Implicit	Present	Present
593.xml	2	Reason-Effect	Inference	Implicit	Present	Present
593.xml	7	Reason-Effect	Inference	Implicit	Present	Future
594.xml	1	Reason-Effect	Inference	Implicit	Past	Present
595.xml	7	Reason-Effect	Inference	Implicit	Past	Present
643.xml	3	Reason-Effect	Inference	Implicit	Present	Present
016.xml	21	Reason-Effect	Condition	Explicit	Present	Present
042.xml	7	Reason-Effect	Condition	Explicit	Present	Present
052.xml	5	Reason-Effect	Condition	Explicit	Present	Present
112.xml	5	Reason-Effect	Condition	Explicit	Present	Present
222.xml	7	Reason-Effect	Condition	Explicit	Present	Present
238.xml	4	Reason-Effect	Condition	Explicit	Present	Future
267.xml	4	Reason-Effect	Condition	Explicit	Past	Present
279.xml	4	Reason-Effect	Condition	Explicit	Past	Present
289.xml	3	Reason-Effect	Condition	Explicit	Present	Present
289.xml	4	Reason-Effect	Condition	Explicit	Present	Present
293.xml	3	Reason-Effect	Condition	Explicit	Present	Present
301.xml	1	Reason-Effect	Condition	Explicit	Present	Present
301.xml	2	Reason-Effect	Condition	Explicit	Past	Present
308.xml	5	Reason-Effect	Condition	Explicit	Present	Present
515.xml	3	Reason-Effect	Condition	Explicit	Present	Future
533.xml	3	Reason-Effect	Condition	Explicit	Present	Present
540.xml	1	Reason-Effect	Condition	Explicit	Past	Present
540.xml	1	Reason-Effect	Condition	Explicit	Present	Present
548.xml	2	Reason-Effect	Condition	Explicit	Past	Present
590.xml	3	Reason-Effect	Condition	Explicit	Present	Present
591.xml	3	Reason-Effect	Condition	Explicit	Present	Present
592.xml	2	Reason-Effect	Condition	Explicit	Present	Present
593.xml	8	Reason-Effect	Condition	Explicit	Present	Present
593.xml	9	Reason-Effect	Condition	Explicit	Present	Present
594.xml	4	Reason-Effect	Condition	Explicit	Present	Present
594.xml	2	Reason-Effect	Condition	Explicit	Present	Present
594.xml	7	Reason-Effect	Condition	Explicit	Present	Present
595.xml	3	Reason-Effect	Condition	Explicit	Present	Present
595.xml	8	Reason-Effect	Condition	Explicit	Present	Future
595.xml	4	Reason-Effect	Condition	Explicit	Present	Present
595.xml	4	Reason-Effect	Condition	Explicit	Present	Present
596.xml	4	Reason-Effect	Condition	Explicit	Present	Present
596.xml	3	Reason-Effect	Condition	Explicit	Present	Present
651.xml	1	Reason-Effect	Condition	Explicit	Present	Present
653.xml	3	Reason-Effect	Condition	Explicit	Present	Present
657.xml	10	Reason-Effect	Condition	Explicit	Past	Present
657.xml	3	Reason-Effect	Condition	Explicit	Past	Present
001.xml	16	Reason-Effect	Condition	Implicit	Present	Present
005.xml	2	Reason-Effect	Condition	Implicit	Past	Present
009.xml	6	Reason-Effect	Condition	Implicit	Present	Present
013.xml	16	Reason-Effect	Condition	Implicit	Present	Present
015.xml	1	Reason-Effect	Condition	Implicit	Past	Present
015.xml	10	Reason-Effect	Condition	Implicit	Present	Present
016.xml	12	Reason-Effect	Condition	Implicit	Future	Present
018.xml	2	Reason-Effect	Condition	Implicit	Present	Present
018.xml	10	Reason-Effect	Condition	Implicit	Present	Present
018.xml	12	Reason-Effect	Condition	Implicit	Present	Present
020.xml	7	Reason-Effect	Condition	Implicit	Present	Present
073.xml	2	Reason-Effect	Condition	Implicit	Present	Present
099.xml	4	Reason-Effect	Condition	Implicit	Present	Present
118.xml	4	Reason-Effect	Condition	Implicit	Past	Present
119.xml	2	Reason-Effect	Condition	Implicit	Present	Present
132.xml	2	Reason-Effect	Condition	Implicit	Present	Present
207.xml	5	Reason-Effect	Condition	Implicit	Past	Past
215.xml	2	Reason-Effect	Condition	Implicit	Present	Present
238.xml	3	Reason-Effect	Condition	Implicit	Present	Present
274.xml	2	Reason-Effect	Condition	Implicit	Present	Present
289.xml	4	Reason-Effect	Condition	Implicit	Present	Present
401.xml	4	Reason-Effect	Condition	Implicit	Present	Present
420.xml	5	Reason-Effect	Condition	Implicit	Present	Present
422.xml	3	Reason-Effect	Condition	Implicit	Present	Future
427.xml	5	Reason-Effect	Condition	Implicit	Present	Present
432.xml	2	Reason-Effect	Condition	Implicit	Present	Present
453.xml	2	Reason-Effect	Condition	Implicit	Present	Present
501.xml	4	Reason-Effect	Condition	Implicit	Present	Present
504.xml	1	Reason-Effect	Condition	Implicit	Present	Present
505.xml	2	Reason-Effect	Condition	Implicit	Present	Present
505.xml	3	Reason-Effect	Condition	Implicit	Present	Present
518.xml	6	Reason-Effect	Condition	Implicit	Present	Present
641.xml	1	Reason-Effect	Condition	Implicit	Present	Present
657.xml	6	Reason-Effect	Condition	Implicit	Past	Past
001.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
001.xml	6	Reason-Effect	Cause-Result	Explicit	Present	Present
001.xml	8	Reason-Effect	Cause-Result	Explicit	Past	Present
009.xml	9	Reason-Effect	Cause-Result	Explicit	Past	Present
024.xml	4	Reason-Effect	Cause-Result	Explicit	Past	Past
026.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
031.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Future
033.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Past
034.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Future
039.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
039.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
042.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
042.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
042.xml	6	Reason-Effect	Cause-Result	Explicit	Present	Present
043.xml	3	Reason-Effect	Cause-Result	Explicit	Future	Future
046.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Present
052.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
059.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
060.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
061.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
065.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
069.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
081.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
081.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
084.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
086.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
087.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
090.xml	2	Effect-Reason	Cause-Result	Explicit	Present	Present
090.xml	7	Effect-Reason	Cause-Result	Explicit	Present	Future
090.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
103.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
103.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
105.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
108.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
112.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
112.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
115.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
116.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
121.xml	6	Reason-Effect	Cause-Result	Explicit	Present	Present
122.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
122.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
122.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Future
123.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
125.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Future
125.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Future
128.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
131.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
132.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Present
137.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
139.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Present
139.xml	5	Reason-Effect	Cause-Result	Explicit	Past	Present
139.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
146.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
147.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
147.xml	7	Reason-Effect	Cause-Result	Explicit	Past	Present
148.xml	4	Reason-Effect	Cause-Result	Explicit	Past	Present
154.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
154.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
158.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
160.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
167.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
167.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
168.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Present
176.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
179.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
189.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
191.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
203.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
206.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
206.xml	3	Reason-Effect	Cause-Result	Explicit	Future	Future
206.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
206.xml	6	Reason-Effect	Cause-Result	Explicit	Present	Present
206.xml	12	Reason-Effect	Cause-Result	Explicit	Present	Present
207.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
207.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Past
207.xml	24	Effect-Reason	Cause-Result	Explicit	Past	Past
207.xml	7	Reason-Effect	Cause-Result	Explicit	Present	Present
207.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Past
207.xml	3	Effect-Reason	Cause-Result	Explicit	Present	Present
210.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
214.xml	7	Reason-Effect	Cause-Result	Explicit	Future	Past
216.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
216.xml	4	Effect-Reason	Cause-Result	Explicit	Future	Present
216.xml	3	Effect-Reason	Cause-Result	Explicit	Future	Present
218.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
232.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
233.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
234.xml	1	Reason-Effect	Cause-Result	Explicit	Future	Future
238.xml	6	Reason-Effect	Cause-Result	Explicit	Past	Present
238.xml	9	Reason-Effect	Cause-Result	Explicit	Past	Present
240.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Present
249.xml	7	Reason-Effect	Cause-Result	Explicit	Past	Present
251.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
254.xml	7	Reason-Effect	Cause-Result	Explicit	Past	Present
255.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
259.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
266.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
267.xml	6	Reason-Effect	Cause-Result	Explicit	Present	Present
281.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
281.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Future
281.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Present
291.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
296.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Past
307.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
307.xml	5	Reason-Effect	Cause-Result	Explicit	Future	Future
308.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
308.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
309.xml	2	Reason-Effect	Cause-Result	Explicit	Future	Future
310.xml	4	Effect-Reason	Cause-Result	Explicit	Present	Present
312.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
315.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
316.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
316.xml	6	Reason-Effect	Cause-Result	Explicit	Past	Present
322.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
404.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
406.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
408.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
420.xml	4	Effect-Reason	Cause-Result	Explicit	Present	Present
426.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
426.xml	3	Reason-Effect	Cause-Result	Explicit	Past	Present
427.xml	7	Reason-Effect	Cause-Result	Explicit	Past	Present
428.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
430.xml	2	Effect-Reason	Cause-Result	Explicit	Future	Present
432.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
432.xml	10	Reason-Effect	Cause-Result	Explicit	Present	Present
434.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
436.xml	3	Reason-Effect	Cause-Result	Explicit	Past	Present
437.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
437.xml	9	Reason-Effect	Cause-Result	Explicit	Present	Present
438.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
442.xml	6	Reason-Effect	Cause-Result	Explicit	Present	Present
445.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
505.xml	8	Reason-Effect	Cause-Result	Explicit	Present	Present
505.xml	4	Effect-Reason	Cause-Result	Explicit	Present	Present
505.xml	7	Effect-Reason	Cause-Result	Explicit	Present	Present
509.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
509.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
514.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
515.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
516.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
518.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Present
518.xml	3	Effect-Reason	Cause-Result	Explicit	Present	Present
518.xml	2	Effect-Reason	Cause-Result	Explicit	Present	Present
522.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
523.xml	1	Reason-Effect	Cause-Result	Explicit	Future	Past
524.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
531.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
531.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
532.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Present
532.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Future
536.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
541.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
544.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
545.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
547.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
548.xml	1	Effect-Reason	Cause-Result	Explicit	Past	Present
549.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
549.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
549.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
551.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
551.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
590.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
590.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
590.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
592.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
593.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
593.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
593.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Present
593.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
594.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
594.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
594.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
594.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Present
595.xml	1	Reason-Effect	Cause-Result	Explicit	Present	Present
595.xml	7	Reason-Effect	Cause-Result	Explicit	Present	Present
595.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
595.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
596.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
596.xml	7	Reason-Effect	Cause-Result	Explicit	Past	Present
603.xml	7	Reason-Effect	Cause-Result	Explicit	Present	Present
608.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
611.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Present
616.xml	5	Reason-Effect	Cause-Result	Explicit	Present	Present
618.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
620.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Present
624.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
630.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
633.xml	2	Reason-Effect	Cause-Result	Explicit	Past	Present
633.xml	4	Reason-Effect	Cause-Result	Explicit	Past	Present
637.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
640.xml	3	Reason-Effect	Cause-Result	Explicit	Present	Present
645.xml	1	Reason-Effect	Cause-Result	Explicit	Past	Past
645.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
645.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
646.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Present
646.xml	6	Reason-Effect	Cause-Result	Explicit	Present	Present
651.xml	4	Effect-Reason	Cause-Result	Explicit	Present	Present
651.xml	1	Effect-Reason	Cause-Result	Explicit	Present	Future
654.xml	2	Reason-Effect	Cause-Result	Explicit	Present	Present
656.xml	4	Reason-Effect	Cause-Result	Explicit	Present	Present
001.xml	1	Reason-Effect	Cause-Result	Implicit	Present	Present
001.xml	18	Reason-Effect	Cause-Result	Implicit	Present	Present
005.xml	4	Reason-Effect	Cause-Result	Implicit	Past	Past
005.xml	10	Reason-Effect	Cause-Result	Implicit	Present	Present
008.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
008.xml	5	Reason-Effect	Cause-Result	Implicit	Present	Past
009.xml	1	Effect-Reason	Cause-Result	Implicit	Present	Past
013.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
013.xml	6	Reason-Effect	Cause-Result	Implicit	Present	Present
013.xml	14	Reason-Effect	Cause-Result	Implicit	Present	Present
013.xml	22	Reason-Effect	Cause-Result	Implicit	Present	Present
013.xml	31	Reason-Effect	Cause-Result	Implicit	Present	Present
014.xml	7	Reason-Effect	Cause-Result	Implicit	Past	Present
016.xml	1	Reason-Effect	Cause-Result	Implicit	Future	Future
016.xml	3	Reason-Effect	Cause-Result	Implicit	Future	Future
016.xml	4	Effect-Reason	Cause-Result	Implicit	Future	Present
016.xml	16	Effect-Reason	Cause-Result	Implicit	Present	Present
016.xml	18	Reason-Effect	Cause-Result	Implicit	Present	Future
018.xml	1	Reason-Effect	Cause-Result	Implicit	Present	Present
019.xml	8	Reason-Effect	Cause-Result	Implicit	Past	Present
020.xml	4	Reason-Effect	Cause-Result	Implicit	Present	Present
026.xml	1	Effect-Reason	Cause-Result	Implicit	Past	Present
026.xml	3	Reason-Effect	Cause-Result	Implicit	Present	Present
030.xml	3	Reason-Effect	Cause-Result	Implicit	Present	Present
032.xml	1	Reason-Effect	Cause-Result	Implicit	Past	Present
033.xml	1	Reason-Effect	Cause-Result	Implicit	Past	Present
035.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
037.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
038.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
038.xml	3	Reason-Effect	Cause-Result	Implicit	Present	Present
040.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
040.xml	3	Reason-Effect	Cause-Result	Implicit	Present	Present
040.xml	1	Reason-Effect	Cause-Result	Implicit	Present	Present
041.xml	4	Reason-Effect	Cause-Result	Implicit	Present	Present
041.xml	7	Reason-Effect	Cause-Result	Implicit	Present	Present
042.xml	3	Reason-Effect	Cause-Result	Implicit	Present	Present
042.xml	4	Reason-Effect	Cause-Result	Implicit	Present	Present
050.xml	1	Reason-Effect	Cause-Result	Implicit	Past	Present
052.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
052.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Future
056.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
057.xml	2	Reason-Effect	Cause-Result	Implicit	Present	Present
058.xml	1	Reason-Effect	Cause-Result	Implicit	Present	Present
059.xml	1	Reason-Effect	Cause-Result	Implicit	Present	Present
059.xml	1	Reason-Effect	Cause-Result	Implicit	Past	Present
061.xml	4	Reason-Effect	Cause-Result	Implicit	Present	Present
062.xml	1	Effect-Reason	Cause-Result	Implicit	Present	Present
062.xml	1	Reason-Effect	Cause-Result	Implicit	Past	Present
066.xml	1	Reason-Effect	Cause-Result	Implicit	Present	Present
066.xml	3	Reason-Effect	Cause-Result	Implicit	Past	Present
066.xml	5	Reason-Effect	Cause-Result	Implicit	Past	Past
